LocationVolumeKey	SourceLocationVolumeReadingId	DateKey	ReadingDateTime	LocationKey	VolumeReadingLitres	IsDuplicate	IsAggregate	IsActive
1	1	20191130	2019-11-30 02:00:00.213	5	1000.0	0	0	1
2	2	20191130	2019-11-30 02:00:00.830	14	1000.0	0	0	1
3	3	20191130	2019-11-30 03:00:00.437	5	1000.0	0	0	1
4	4	20191130	2019-11-30 03:00:00.027	14	1000.0	0	0	1
5	5	20191130	2019-11-30 04:00:00.973	5	1000.0	0	0	1
6	6	20191130	2019-11-30 04:00:00.490	14	1000.0	0	0	1
7	7	20191130	2019-11-30 05:00:00.500	14	1000.0	0	0	1
8	8	20191130	2019-11-30 07:43:27.413	14	1000.0	0	0	1
9	9	20191130	2019-11-30 08:00:00.837	14	1000.0	0	0	1
10	10	20191130	2019-11-30 09:45:23.807	14	1000.0	0	0	1
11	11	20191130	2019-11-30 10:00:00.610	14	1000.0	0	0	1
12	12	20191130	2019-11-30 11:00:00.530	14	1000.0	0	0	1
13	13	20191130	2019-11-30 12:00:00.163	14	1000.0	0	0	1
14	14	20191130	2019-11-30 14:11:28.710	14	1000.0	0	0	1
15	15	20191130	2019-11-30 15:00:00.363	14	1000.0	0	0	1
16	16	20191130	2019-11-30 16:00:00.947	14	1000.0	0	0	1
17	17	20191130	2019-11-30 18:07:00.803	14	1000.0	0	0	1
18	18	20191130	2019-11-30 19:33:26.527	14	1000.0	0	0	1
19	19	20191130	2019-11-30 20:00:00.237	14	1000.0	0	0	1
20	20	20191130	2019-11-30 21:00:00.287	14	1000.0	0	0	1
21	21	20191130	2019-11-30 22:00:00.863	14	1000.0	0	0	1
22	22	20191130	2019-11-30 23:58:14.173	5	1000.0	0	0	1
23	23	20191130	2019-11-30 23:00:00.530	14	1000.0	0	0	1
24	24	20191201	2019-12-01 00:00:00.967	5	1000.0	0	0	1
25	25	20191201	2019-12-01 00:00:00.210	14	1000.0	0	0	1
26	26	20191201	2019-12-01 01:00:00.297	5	1000.0	0	0	1
27	27	20191201	2019-12-01 01:00:00.803	14	1000.0	0	0	1
28	28	20191201	2019-12-01 02:00:00.127	5	1000.0	0	0	1
29	29	20191201	2019-12-01 02:00:00.540	14	1000.0	0	0	1
30	30	20191201	2019-12-01 03:00:00.157	5	1000.0	0	0	1
31	31	20191201	2019-12-01 03:00:00.660	14	1000.0	0	0	1
32	32	20191201	2019-12-01 04:00:00.513	5	1000.0	0	0	1
33	33	20191201	2019-12-01 04:00:00.193	14	1000.0	0	0	1
34	34	20191201	2019-12-01 05:00:00.830	14	1000.0	0	0	1
35	35	20191201	2019-12-01 06:14:39.787	14	1000.0	0	0	1
36	36	20191201	2019-12-01 07:00:00.537	14	1000.0	0	0	1
37	37	20191201	2019-12-01 08:00:01.000	14	1000.0	0	0	1
38	38	20191201	2019-12-01 09:00:00.970	14	1000.0	0	0	1
39	39	20191201	2019-12-01 10:00:00.167	14	1000.0	0	0	1
40	40	20191201	2019-12-01 11:00:00.467	14	1000.0	0	0	1
41	41	20191201	2019-12-01 12:00:00.720	14	1000.0	0	0	1
42	42	20191201	2019-12-01 14:07:30.010	14	1000.0	0	0	1
43	43	20191201	2019-12-01 15:00:00.090	14	1000.0	0	0	1
44	44	20191201	2019-12-01 16:00:00.697	14	1000.0	0	0	1
45	45	20191201	2019-12-01 17:00:00.617	14	1000.0	0	0	1
46	46	20191201	2019-12-01 18:00:00.897	14	1000.0	0	0	1
47	47	20191201	2019-12-01 19:00:00.583	14	1000.0	0	0	1
48	48	20191201	2019-12-01 21:51:36.890	5	1000.0	0	0	1
49	49	20191201	2019-12-01 21:49:42.880	14	1000.0	0	0	1
50	50	20191201	2019-12-01 22:00:00.297	5	1000.0	0	0	1
51	51	20191201	2019-12-01 22:00:00.093	14	1000.0	0	0	1
52	52	20191201	2019-12-01 23:00:00.200	5	1000.0	0	0	1
53	53	20191201	2019-12-01 23:00:00.803	14	1000.0	0	0	1
54	54	20191202	2019-12-02 00:00:00.627	5	1000.0	0	0	1
55	55	20191202	2019-12-02 00:00:00.610	14	1000.0	0	0	1
56	56	20191202	2019-12-02 01:00:00.207	5	1000.0	0	0	1
57	57	20191202	2019-12-02 01:00:00.547	14	1000.0	0	0	1
58	58	20191202	2019-12-02 02:00:00.443	5	1000.0	0	0	1
59	59	20191202	2019-12-02 02:00:00.513	14	1000.0	0	0	1
60	60	20191202	2019-12-02 03:00:00.633	5	1000.0	0	0	1
61	61	20191202	2019-12-02 03:00:00.917	14	1000.0	0	0	1
62	62	20191202	2019-12-02 04:00:00.923	5	1000.0	0	0	1
63	63	20191202	2019-12-02 04:00:00.293	14	1000.0	0	0	1
64	64	20191202	2019-12-02 04:20:00.000	15	632141.0	0	0	1
65	65	20191202	2019-12-02 05:00:00.093	14	1000.0	0	0	1
66	66	20191202	2019-12-02 06:04:01.410	5	1000.0	0	0	1
